"Unnamed..0","GAD1","GAD2","GAD3","GAD4","GAD5","GAD6","GAD7","GADE","SWL1","SWL2","SWL3","SWL4","SWL5","Game","Platform","Hours","whyplay","streams","SPIN1","SPIN2","SPIN3","SPIN4","SPIN5","SPIN6","SPIN7","SPIN8","SPIN9","SPIN10","SPIN11","SPIN12","SPIN13","SPIN14","SPIN15","SPIN16","SPIN17","Narcissism","Gender","Age","Work","Degree","Birthplace","Residence","Playstyle","GAD_T","SWL_T","Residence_ISO3","Birthplace_ISO3"
12387,2,1,1,0,0,2,0,"Somewhat difficult",2,6,3,2,3,"League of Legends","PC",40,"Fun",20,0,3,2,1,4,2,2,4,3,0,3,2,0,4,3,0,1,2,"Male",21,"Unemployed","High School","Germany","Germany","Multiplayer",6,16,"DEU","DEU"
12388,1,1,1,1,1,1,1,"Somewhat difficult",6,6,6,6,6,"League of Legends","PC",18,"Competition",10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Male",18,"Student","High School","USA","USA","Multiplayer",7,30,"USA","USA"
12389,0,0,1,0,1,1,0,"Not difficult at all",5,4,5,5,5,"League of Legends","PC",20,"Competition",0,1,2,1,2,1,1,2,1,1,1,2,1,1,1,2,1,1,2,"Male",18,"Student","High School","Hong Kong","Canada","Multiplayer",3,24,"CAN","HKG"
12390,3,2,2,2,3,2,2,"Very difficult",2,2,2,3,2,"League of Legends","PC",20,"Competition",20,2,3,1,3,4,4,0,0,0,4,3,3,0,3,3,0,0,4,"Male",18,"Student","None","Canada","Canada","Multiplayer",16,11,"CAN","CAN"
12391,1,0,1,2,0,1,0,"Not difficult at all",2,5,2,1,1,"League of Legends","PC",30,"Competition",1,0,1,1,1,1,2,2,0,0,1,2,0,2,1,1,3,3,2,"Male",20,"Unemployed","High School","Italy","Italy","Multiplayer",5,11,"ITA","ITA"
12392,0,0,1,0,0,0,0,"Not difficult at all",2,2,6,2,2,"League of Legends","PC",15,"Competition",3,2,3,0,0,0,0,2,1,0,0,2,1,0,1,1,0,0,4,"Male",18,"Student","High School","USA","USA","Multiplayer",1,14,"USA","USA"
12393,2,1,3,2,1,2,0,"Somewhat difficult",3,6,4,4,2,"League of Legends","PC",9,"Competition",10,2,1,3,3,3,3,3,3,4,3,2,2,2,2,3,3,2,2,"Male",29,"Employed","Bachelors","Canada","Canada","Multiplayer",11,19,"CAN","CAN"
12394,0,0,0,1,2,3,3,"Somewhat difficult",5,3,2,3,1,"Other","PC",60,"Competition",15,2,4,2,3,1,3,2,2,4,1,2,3,3,3,2,2,0,2,"Male",22,"Student","High School","Chile","Chile","Multiplayer",9,14,"CHL","CHL"
12395,0,0,1,0,0,1,0,"Not difficult at all",6,5,7,7,5,"League of Legends","PC",30,"Competition",10,0,1,2,2,1,1,0,3,0,0,0,1,0,1,2,0,0,1,"Male",19,"Student","High School","USA","USA","Multiplayer",2,30,"USA","USA"
12396,2,2,1,1,2,2,2,"Somewhat difficult",5,6,4,5,4,"League of Legends","PC",10,"Competition",5,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,"Male",19,"Student","Bachelors","Venezuela","Spain","Multiplayer",12,24,"ESP","VEN"
12397,0,1,1,0,0,2,2,"Somewhat difficult",5,4,7,5,7,"League of Legends","PC",17,"Fun",2,1,2,1,2,0,0,3,0,2,1,2,2,0,1,3,1,0,1,"Male",21,"Student","High School","Belgium","Belgium","Multiplayer",6,28,"BEL","BEL"
12398,1,1,0,0,0,1,0,"Not difficult at all",5,7,6,7,2,"League of Legends","PC",20,"Fun",10,0,0,0,0,1,2,0,2,2,1,3,2,0,1,2,1,1,2,"Male",19,"Student","High School","USA","USA","Multiplayer",3,27,"USA","USA"
12399,0,0,0,0,0,3,0,"Somewhat difficult",3,4,3,3,2,"League of Legends","PC",40,"Competition",10,0,2,0,3,0,1,0,4,2,0,3,0,0,1,0,0,1,3,"Male",18,"Student","High School","USA","USA","Multiplayer",3,15,"USA","USA"
12400,3,3,3,0,0,0,3,"Somewhat difficult",2,2,4,3,2,"League of Legends","PC",40,"Competition",30,1,2,1,1,0,4,1,0,0,2,4,0,0,0,3,2,1,1,"Male",18,"Student","High School","Canada","Canada","Multiplayer",12,13,"CAN","CAN"
